"Year","jan","feb","mar","apr","may","jun","jul","aug","sep","oct","nov","dec"
"1","14185.043338538413","14353.247518887843","10665.579186022947","10769.892000806241","11215.799143722139","13602.204415397537","13439.862290418778","13987.670912175487","10955.992414682383","10706.740343700625","11028.536410960662","14040.67983089151"
"2","14421.729523807342","14399.783950963945","11028.011649680355","10787.721057189183","10936.88091030405","13255.690377117942","13529.599279263968","13750.3308652029","11126.155464946833","11016.711407371171","10615.668029125934","14110.807497644888"
"3","14411.648243138183","14241.216573986112","11084.434992805132","10725.80600078549","11163.494434291955","13513.278409630968","13669.058723784041","13377.981940937289","11072.120863143891","10902.398341460626","11030.999001675986","13927.8729332444"
"4","13881.329943507524","14139.95149171658","10356.564468767601","10689.169377936732","10333.667054381738","13625.590473928634","13138.18684488716","13605.879259809473","10470.259230998874","10350.430868630549","10340.288623803464","14059.193561278798"
"5","14266.866284425805","14748.907145052919","11172.976000144488","11272.786481863066","10887.364327954749","14058.40457629534","14087.79225277368","13651.929164510806","11040.594625515694","11298.887930160965","10796.785274510856","14024.084431557118"
"6","13729.708382656841","13427.216086510987","10339.187473953474","10575.032365868798","10359.383292334674","13120.87723732577","12983.478816842078","12942.587104341299","10677.117148091495","10537.788943624531","10551.591185919093","14139.10457067913"
"7","14329.184022617728","14269.610943191525","10995.775990254919","10578.604228472033","10868.826328724048","13270.361560290903","13725.424401419097","13318.15960749719","10695.961430712901","10854.247603260255","11031.10928626402","13960.07367755857"
"8","14098.154145022392","13945.41012140837","10803.88360225873","11067.744439468075","10648.848188633925","13525.875160671701","13789.708892738361","13790.047289047834","10798.966139360138","10930.28959847934","11168.057016030709","14114.11564198353"
"9","14363.81914451614","14106.057109461566","11118.228020335551","10627.43942072091","10959.309322285748","13324.354838024808","13653.769790830276","13822.98421998663","11049.507163913628","10986.774333890075","10858.694946744481","14362.298131559903"
"10","14041.431121796344","13761.77520290821","10885.474220193215","10478.338817263142","10508.586746528095","13241.895715150604","13426.394045655472","13020.98410823043","10294.6605093908","10436.508453778424","10811.049370129933","13552.017336619025"
