"Year","jan","feb","mar","apr","may","jun","jul","aug","sep","oct","nov","dec"
"1","6141.507303295208","5954.299801678636","4864.451231222063","5052.036738983982","4804.33693968082","5868.665515963343","5765.947836281649","5835.647763076393","4962.832932934294","4598.373618715819","4969.336940612524","6259.253260166333"
"2","6087.979932759711","6429.285217549462","4654.442111659946","4686.363994000184","4621.495733635453","5787.976671287477","6092.127906411933","5798.182816801227","4634.058816847293","4810.825311409805","4451.8268564485825","6520.507281470268"
"3","5611.918550105599","5862.111919064845","4393.907680558652","4167.743422753966","4175.676681571813","5528.073570082853","5781.860063987159","5292.334877188499","4241.9549882755555","4232.16252457207","4350.816528387015","6028.9234098463385"
"4","5678.410977352992","6300.858838813811","4429.063027133183","4307.708017743706","4732.491788964163","6047.3912975800295","5990.373721685893","5968.169220393946","4660.694074943472","4411.885035421838","4828.652587755576","5634.124486379186"
"5","5994.920422441569","6098.366169872881","4801.964206097669","4595.034033009364","4460.759648122444","5540.818515875666","6133.85064825494","5903.903721698075","4946.950589245849","4430.201653008227","4857.934728031496","5973.95215618609"
"6","5889.28918910443","6382.121101429353","4482.002226835733","4683.593354208845","4832.52118069591","6238.973730518229","6035.255238640701","5795.667882644666","4880.316374286351","4843.717572692058","4544.623865690137","5942.87594326777"
"7","6180.734213792809","6275.688595725126","4745.556376482209","4679.122139874183","4517.741517214135","5902.865757272953","5655.719645261432","6034.108638604786","4921.385220869961","4940.236385578397","4479.0141503776185","6122.726309286685"
"8","6210.009551693771","5998.7925615458","4204.491023064086","4612.762689336588","4259.056248161481","5711.377078482442","5534.229847453547","5899.8764961042","4755.580646055054","4523.32297667835","4721.123032693706","5973.344777629665"
"9","6467.115661457625","6159.2896239820775","4693.189079985945","4779.099226809362","4928.230790940477","5796.830513045983","6066.116598450266","5758.141920182538","4802.933144233288","4658.273057034241","4470.162966442935","6284.896802460621"
"10","6326.7867530848125","6513.742939392658","4992.259708705885","4833.50715557193","4698.4459119061585","5656.817901354709","5656.135540578292","5846.840844670455","5056.9932860753415","5067.562015998955","4908.440464794219","5946.907069557931"
