"Year","jan","feb","mar","apr","may","jun","jul","aug","sep","oct","nov","dec"
"1","14461.511178377643","14688.178586870456","11236.00390675538","11302.855999115955","11435.676280130463","14177.239761100853","14127.338638639045","14248.57785850079","11191.320028074239","11338.363441863365","11236.518172446456","15043.858601774215"
"2","14527.043571255403","14388.551384924094","11045.957400514963","10943.835995205452","11176.201978218425","13756.34634237695","14015.353969254558","13945.689855241324","10912.131592736898","11187.373889704422","11000.264521106788","14302.260518122726"
"3","14674.893852574143","14909.59513105783","11101.296696809399","11273.813897019676","11375.784403725811","14205.820657662798","14624.026669838833","13963.49102043897","11403.662986501757","11644.532197430872","11396.208895550313","14838.41739890273"
"4","14350.867279066222","14529.9334084447","11095.79223132853","11246.546938515365","11505.164062139138","13809.493513543897","14144.755648434157","14241.17765993144","11503.013968248315","11074.069006584576","11354.188079447324","14736.824164147294"
"5","14630.80836884371","14864.562017250058","11301.66191839268","11292.779421309897","10980.140614802038","13821.232473208256","14072.91058578582","14211.23767179512","10967.217507597265","10989.475524506464","11106.723804171019","14357.307732259425"
"6","15133.39446633518","14653.189056559504","11634.065537098448","11113.372749930983","11574.008305491468","14033.293867482804","14212.31893349427","14308.490269004425","11232.743890630012","11478.076043139634","11274.258781584833","14818.14409821482"
"7","14255.347873209317","14180.130737744452","10947.632069293082","11061.662311003149","11025.908203670167","13802.404579912907","13649.544286805398","13597.703647131855","11292.824879811169","11191.771779340019","11145.782842986155","14648.554646200973"
"8","14557.140642959026","15092.556404419982","11353.080817239475","11540.379838889443","11647.189275478899","13947.431790428464","13987.804129000886","14549.629346138066","11608.351944259748","11169.506703222802","11159.085834512556","14470.636539920006"
"9","14393.001462819115","14988.035985671371","11395.954953822573","11411.57058436452","11040.330857138819","13911.053603998005","14387.500473294695","14204.990695236309","11071.055635853998","11202.454876985294","11232.390453050944","14618.569359234458"
"10","14651.068910094402","15128.268644450178","11270.395135260997","11524.637346221396","11490.6726515205","14211.700274875593","14417.513842361142","14134.396079902783","11821.73181101269","11501.9304682153","11371.47822978322","15268.895231659933"
