"Year","jan","feb","mar","apr","may","jun","jul","aug","sep","oct","nov","dec"
"1","6525.255049691921","6473.966811252439","5316.7279463771865","5291.194307260786","5407.277738447097","6377.340166050602","6362.372968237573","6424.44903718541","5397.949573731319","5416.145904195874","4943.5349568798665","6633.656865507689"
"2","6013.452490447668","6477.978950552113","4632.320074700898","4721.321666316496","4968.18493156968","6104.105788956463","6286.3786152317325","6187.8945315379415","4726.731668745443","4843.34803108438","5103.5006697180925","6181.89180215237"
"3","5946.130009113591","6475.596079039471","4975.213183609269","4761.91119021492","4643.9249587384165","5750.423493861721","5914.079290445146","5826.376659020687","4852.848398728731","4583.884400851475","4785.008756518408","6462.547668318396"
"4","6469.012193062135","6426.077907765477","5279.178184238363","5033.13728081617","5106.332588457406","6605.111484431662","6264.119573533513","6447.460621102473","4973.802128131352","5069.327352621439","5045.355439232078","6591.060196095801"
"5","6492.89715754948","6556.336425574158","5176.983311851976","5001.211971375422","5070.893409221244","6110.86263449076","6227.282223083523","6629.744485303482","5113.2350803201925","5162.854898681609","5238.256241000274","6553.581905456504"
"6","6673.48580152537","6607.773177455217","4998.340942151366","4985.9429890590545","5062.519451670648","6540.031458505051","6243.695548389843","6747.887069380571","5058.5411222172725","5264.788943033617","5213.5756137998815","6494.560407029231"
"7","6640.801199279567","6344.476147634705","4878.950465921418","4998.76871936741","4894.275635308634","6058.228191224472","6545.5575905352125","6300.813882537494","4964.518991845684","5151.1943695558375","5245.371722662055","6513.145427337851"
"8","6964.477175194321","7116.390401515071","5093.582224818093","5222.991563142123","5394.2636428062615","6529.049843066796","6453.181313028454","6741.737486240188","5200.362920468847","5382.928610550679","5409.801161735038","7104.9006438093775"
"9","6201.451927248626","6055.336250809925","4986.688831760125","4693.935304004063","4795.672178306585","5946.180183292747","5807.477291909812","6196.0075043156885","4689.174133208281","4857.7389004636525","4992.386112010366","6304.222798935956"
"10","6114.05606086563","6549.657808325399","4650.435196823158","4793.758040041846","4938.26227965961","6285.865079225543","6254.0801959283945","6268.411339409567","4671.0800754790425","5036.9369962177825","5121.257629519561","6534.122460586242"
