"Year","jan","feb","mar","apr","may","jun","jul","aug","sep","oct","nov","dec"
"1","8563.879552961567","8786.858991737308","6812.092494397919","6944.560662360049","6603.268891189908","8406.875091274705","8412.389078305703","8262.085428487379","6762.660780394422","6961.4192785745945","6715.776310776505","8535.370024352655"
"2","8962.118775197276","8511.164175189102","6868.965055080722","6701.126281435949","6975.286446251646","8173.737461609522","8221.613052382225","8513.084070108023","6556.521085439033","6834.188261666655","6852.2388158702815","8635.136013495752"
"3","8271.048715170622","8306.195151271711","6730.206107022972","6512.394689631784","6718.878539882726","7790.853124801779","7856.287638314189","8092.736297575408","6280.260318553046","6556.3853250726615","6566.585106836177","8412.676738750513"
"4","8629.839776500286","8285.891930672877","6487.297823227444","6751.683133570347","6416.033588181286","7891.1211525269855","8280.535947530758","8110.356185294017","6369.347698867077","6717.106618656049","6323.914063071498","8556.953491876666"
"5","8128.610288416376","8066.832648809092","6235.324906501733","6402.889519240156","6401.820333462908","8173.489007962957","7829.0206454729305","7722.82931980815","6150.801794353275","6527.984914213285","6415.477330545524","8457.758833835538"
"6","8530.491586797274","8833.030643437507","6767.6356155801695","6657.269902703285","6659.5210872545","7995.065533783856","7927.422118994327","8066.038477996876","6503.769091830236","6391.687973446311","6373.359342244064","8237.127178458803"
"7","8429.882689873113","8676.460832563087","6652.136360957428","6495.203987677259","6607.341039918664","8166.566102815977","8003.061922992157","8024.197069972334","6423.879357490736","6470.79537500522","6702.310322875981","8429.35156773244"
"8","8091.450795650678","8374.62857239907","6351.98085814088","6466.239359737414","6510.363978836282","8050.624402664344","8166.798591631357","8217.362189309144","6232.650229005207","6484.798532507745","6213.700652770121","8311.313156600934"
"9","9045.977839723515","8591.522414006942","6742.789810008514","6821.101181703523","6539.606698160478","8327.831757058197","8321.000353400588","8761.659403942711","6827.977203233332","6914.131981140391","6979.709895701036","8549.595365712396"
"10","8460.22677485979","8552.764368850912","6579.9979681908","6451.34604566214","6590.653329695701","8150.937753120044","8115.499495130885","8061.560129134765","6807.426774971582","6540.734398144134","6780.870796693853","8883.063913865675"
