"Year","jan","feb","mar","apr","may","jun","jul","aug","sep","oct","nov","dec"
"1","7270.239487177822","7438.7445873353145","5443.40131955027","5858.189190087503","5437.847172168202","6655.749680932009","6984.545620883614","6797.019709201048","5612.9422307252335","5719.786198304821","5693.5949367851645","7039.0454272004"
"2","6720.320278740535","6716.943105167863","5568.234480839383","5495.896070693051","5312.51010225458","6661.809430791062","6979.377393923007","6762.809341671422","5278.360397791301","5249.812321316125","5701.632741231566","7023.012664019143"
"3","7355.918905966917","6886.247283813867","5823.086850467949","5472.249019874783","5444.242011722782","6690.938128811369","6913.011246274146","7036.365519724299","5634.602807257414","5594.134555777344","5380.312433546093","7014.253363775423"
"4","7576.223011148723","7304.938570695599","5536.3952730409455","5408.053721021028","5648.433929245763","6781.106327688813","7408.840699430732","7183.190781342802","5573.580528029219","5713.192661545452","5924.128529630732","7353.2257489836"
"5","7118.633875666189","7392.711962074705","5737.565335738904","5335.8594547284665","5399.682239281652","7109.982193260262","6717.101730882276","7383.569367583769","5421.750817668468","5821.86478122322","5836.561145494425","7220.852552607965"
"6","6922.080489321153","6684.1136966482145","5684.213387338242","5544.54183365958","5517.2610951339475","6905.768994411464","7087.810676764604","6934.674950663167","5425.54654194735","5513.543102166361","5509.911802363209","6882.960475129285"
"7","7063.461649553398","7436.146209333975","5438.204305033502","5830.581222571651","5676.789522191809","6750.757492465705","6958.949740384413","6723.856894797207","5599.473031336721","5850.856264271807","5780.839367466373","6961.764221260895"
"8","7546.453850113098","6875.912557609509","5538.688542890801","5459.784614496646","5759.227685515705","7186.264706312115","6613.719955942862","7186.755653459632","5788.8020189898325","5695.123708311169","5229.143915381579","6822.9459180921995"
"9","6729.787396405732","6936.539977440344","5156.709043525868","5294.791478216413","5624.567599013874","6388.170207330018","6651.076242869409","6330.195844514464","5526.730728307386","5534.164879763553","5057.474472212182","7057.698634241045"
"10","6796.223055585185","6567.477213741479","5122.886386311729","5486.929102621578","5498.453717772431","6775.155206543479","6435.70296223309","6950.938814478841","5588.509485844715","5247.253986322332","5477.287198640972","7057.087622055327"
