"Year","jan","feb","mar","apr","may","jun","jul","aug","sep","oct","nov","dec"
"1","14688.70013019117","14683.040277046506","11383.662335130914","11403.78564273976","11458.185768563351","13770.847459340697","13762.246652963922","13815.740914954278","10920.281295387798","11478.20816178233","11436.014742643682","14530.38071763404"
"2","14831.710457577745","14756.67218124236","11128.125735547594","11432.537676042122","11102.131912853887","14382.457980488753","14459.974501229564","14145.332801129507","11510.037835250287","11231.804855386848","11164.252360792017","14867.356437366854"
"3","14106.242060148716","14538.940353557247","11312.8953658911","11252.098153227089","11026.609711916206","13726.741005627091","14146.128586425417","13598.23743772288","11114.896125316105","11354.693463207623","10939.148533046131","14194.098033707061"
"4","14540.452256042625","14226.367463084538","10938.962871403735","11297.345643558554","11050.776855767177","13859.845731065183","13838.953122300045","13861.929758896073","10834.412184360333","11091.118498671476","10811.353776346055","14139.44293610215"
"5","14600.596139911624","14100.640200304","11114.959616934717","10893.012451452229","11249.02614164429","13998.067949263153","13585.951363470762","13925.27520589061","10898.000825046181","11098.510717299663","11247.417293814524","14432.061104147462"
"6","14796.833175963951","14842.316190358864","11317.861086668436","11354.703736402995","11172.412536446851","14194.162633249776","14465.39675593919","14269.005636108852","11462.53092179617","11489.74292819448","11397.641669994031","15087.704140801286"
"7","14997.984480965586","14865.353865050334","11135.490544073704","11571.153484154027","11650.19315733787","14312.3193487731","14021.10752364355","14220.639265881438","11341.251397320675","11487.684326425142","11640.51979555336","14610.165257595225"
"8","14478.028274322554","14362.484015051765","11200.109017673878","11169.4936174698","11188.39363203726","13849.641645972113","13622.851897870205","13979.599105416017","11141.220372519154","10946.060557819448","11353.612127380744","14703.134353160181"
"9","14086.121331401408","14511.177982624224","11141.371289184124","10991.299560352258","10797.90687542516","13358.550487002718","13600.762931459596","13475.388325190024","10791.505201802514","11079.356740224974","10786.528012822457","13884.421106727668"
"10","14967.078103681373","14496.160874019864","11417.860634224191","11027.724110802887","11281.280710193405","14421.501507799476","13845.820440657253","14107.172986006448","10948.3551469859","11414.121034383816","11384.006258904437","14448.235681425444"
