"Year","jan","feb","mar","apr","may","jun","jul","aug","sep","oct","nov","dec"
"1","5796.694381823524","5940.041257106722","4705.656109886338","4698.537812937795","4510.365448443876","5583.7187678017235","6104.921741534425","6010.399943160379","4757.865600812567","4431.862868102371","4699.132475800516","5712.507979120015"
"2","6265.0222147785025","6260.218043631238","4882.770585857449","4775.313109580332","4896.903875180442","6051.010317183636","6149.659030026829","6042.857503886912","4759.38955169527","4750.013005061823","5094.188725447241","6371.045593434275"
"3","5569.859898340301","6065.821153855664","4638.293962714487","4481.597219510435","4672.883076381999","5475.217214449987","5329.369602991869","5835.9452887150555","4390.446888647812","4467.956474454517","4743.726239014444","5727.60008140088"
"4","6827.35823540644","6849.490102194203","4982.476702951356","4696.184862630136","4766.68551185533","6276.132090011204","6348.1413542686","6583.007502602595","4760.556592033615","5150.383790761657","4829.499930535809","6206.253892360746"
"5","6290.4362250914755","6046.385625302169","4646.874775343635","4438.645188002985","5017.713481385594","5748.337721242153","5844.471039870828","5578.9122546683575","4580.712742038731","5029.422707324142","5029.934522059735","6081.412085756389"
"6","5820.178719738607","6144.836191028552","4752.952719465743","4441.135832067531","4688.7061392509395","5747.893882600528","6056.312053926554","5987.890842768594","4553.432597827299","4401.387590930696","4457.328136425574","6342.185668966001"
"7","6455.424137979665","6505.851656775522","4615.829519168685","4936.971019245295","4798.967846515163","6212.082226071176","5598.7598316098665","6089.756477218017","4741.761035570388","4708.17947546035","4953.131862133607","5844.102359426112"
"8","6165.715351070127","6719.548614314359","5275.751096037672","5184.730743642986","4760.391243940964","6530.61501258564","6564.17857641326","6266.911693359341","5113.79272460619","4959.776610709332","4904.343233314501","6365.126114931631"
"9","5671.297537788971","5656.913745520458","4575.355251466013","4348.426425729517","4745.0933988307115","5628.700053871102","5476.564964383361","5341.089257734051","4513.738918890226","4396.622789798932","4396.386242038472","5587.393319310528"
"10","6811.822387364689","6783.794553195588","5263.133984176526","5251.356448624563","5249.0524470998325","6441.602070094708","6568.924882933642","6129.164305229851","5082.567347332324","4939.887386048968","5060.7459729703605","6439.6202755437525"
