"Year","jan","feb","mar","apr","may","jun","jul","aug","sep","oct","nov","dec"
"1","12166.854359552783","12533.380726630343","9542.14819996701","9496.109479622844","9292.968982153214","11858.552950001342","11975.696050363946","11904.791874939356","9358.690542979622","9160.437997065179","9554.836395030226","11969.483353618141"
"2","12209.510551263766","12331.278544429606","9608.130619262512","9686.618482658518","9639.760302222769","12070.852328576824","11837.898709587926","11739.642351184531","9203.040547200078","9270.759904561563","9495.59788975332","12011.377159829864"
"3","12129.186716581198","12177.9840891015","9314.895910473831","9311.076341195676","9090.341298643218","11707.047036727106","11361.052396035402","11735.646954726564","9296.704357385928","9382.856786648272","9041.413214757584","12118.2695656004"
"4","11947.05069651463","11926.848509764943","8987.051956601548","9244.360278919346","9055.429258560755","11740.666585581848","11700.645250591462","11698.814628741678","9313.36935033134","8976.631709502459","9118.361042571312","11985.125907766738"
"5","12133.9574571185","12094.097541209354","9137.28076845519","9016.702162164922","9293.003815390442","11223.172637714892","11323.60951161626","11633.246345052574","9338.212012739048","9089.71172256704","8880.42482227783","11969.649807104157"
"6","12064.255313058997","12149.310377426627","9193.030534597448","9186.78604874604","9186.336817059067","11510.786284408086","11721.355783920817","11772.196725810734","9215.936279418265","9164.943157610895","9082.400667576348","11890.440358267795"
"7","11979.60039956813","12166.588047239231","9187.840021011361","9165.71038138157","8982.72202515678","11484.42005200786","11558.503834927926","11291.704584047466","9315.32707852326","9151.53045093187","9010.336361627444","11707.168007909479"
"8","11842.407691415427","12224.361660947156","9144.151971245197","9352.313115028754","9243.695922323688","11876.411356676026","11779.813803768511","11899.51771936637","9311.355107319472","9440.006446774918","9475.10168319706","12246.824218566848"
"9","12139.580407321127","11768.066585467657","9058.366147470244","9212.534267772726","9174.788384380003","11701.923780582682","11532.33731549856","11717.732093758043","9334.75646290272","8940.442842729766","9064.211989440399","11889.208301075385"
"10","11873.61939922351","11850.38540500569","9546.498593600441","9376.414182669892","9486.067788880038","11784.045284497835","11422.222651798436","11519.111520205222","9535.806692290525","9369.967822278815","9514.616554164222","12248.741968023025"
