"Year","jan","feb","mar","apr","may","jun","jul","aug","sep","oct","nov","dec"
"1","9561.530338777586","9058.4066447601","7141.664386921932","6985.809258542245","7474.694093483932","8720.979488757188","9230.665467723686","9026.78957512453","7299.5272650126235","7470.709629194048","7328.313204601628","9810.988977182773"
"2","9894.38534898065","9727.139940650726","7764.026586592008","7319.5808958411535","7563.94681510085","9362.04429223824","9627.630252460658","9536.76342228608","7695.878042394188","7643.959665615515","7457.077628429115","9907.593279129971"
"3","8806.60051175889","9123.917411169885","6771.465490566469","7132.2386412809965","7241.730359220603","9062.595511384718","8716.934202461684","9151.68175048137","6965.713127890455","6971.133202762761","6806.612635623655","9246.262841793921"
"4","9696.862624306117","9436.78463740387","7739.582659765864","7714.926867351175","7646.434686596057","9138.148791294652","9478.947704340055","9094.571275258251","7727.653502409917","7422.861703219236","7367.5928227527","9686.006351266336"
"5","9768.17965688475","9394.567871626532","7200.798405052392","7157.04577811258","7118.089557486648","9046.637425338271","9351.10545850283","9590.136267739006","7283.45894575019","7355.856418859808","7415.524306716265","9860.870166440081"
"6","9662.923564370278","10237.15113300134","7466.9222319568635","7669.96810506053","7347.187041864397","9210.849461372416","9161.585206070426","9394.826369540811","7329.182441997058","7488.975922026293","7311.2481899502445","9889.500508490122"
"7","10004.636100773132","10045.598298905783","7507.219637585392","7479.912428914633","7450.589760046267","9426.126364212592","9661.812583903737","9353.752448133071","7809.376161877884","7799.516778411072","7625.235084065901","9558.89960947802"
"8","9691.301880384226","9625.54058585981","7272.3967783301305","6972.454286631217","7378.131324460465","9145.833247378225","8826.74618447902","8790.113342379524","7203.655583969187","7189.424029775742","7356.583291567265","9786.808256763043"
"9","9566.448813489444","9390.238767760035","7486.2533493060955","7117.509476732315","7388.750559850211","9130.682768280389","8965.714996266854","9076.83753371972","7534.5120687859135","7215.763664934944","7400.584752101317","9773.839766427607"
"10","9595.278111742362","9187.446368068726","7168.449777229616","7294.5200707106505","7395.004503277945","8675.205081730068","8855.053006526028","8683.013374075412","7005.713208357254","6947.298103019162","6926.694660881971","9306.459525410168"
