"Year","jan","feb","mar","apr","may","jun","jul","aug","sep","oct","nov","dec"
"1","11425.570822914355","11297.674024657783","8663.464466885824","8977.625637475729","8563.978180988044","10702.089917367313","10987.686859495665","11117.820223922612","8745.205059950804","8756.363301782803","9007.394377003568","11688.176402084438"
"2","11732.762118682678","12013.665170193164","8904.373193415995","9095.422443510874","9241.03738475109","11047.305042935517","11356.965000556202","10986.021025659882","8912.13972498511","8971.354307770576","8912.64078343444","11870.170802042843"
"3","11623.49445842219","11676.722292351486","9330.461025855075","9281.533712207147","9147.398180023823","11633.10999533617","11224.713706990578","11199.509840865214","9034.708404686406","9008.91358102255","9104.138693319397","11539.54372364772"
"4","11651.800755829583","11527.64665191706","8661.417405494687","8789.59523961652","8668.174306536135","10745.572340750916","10954.604582181131","11198.604926191903","8989.263863002743","8644.134166329139","8606.49884763725","11744.759339572125"
"5","11226.152087287506","11755.378459308145","8606.553417651236","8840.067117855382","8951.884255156869","10861.933842663042","10795.429538462518","11334.102362239284","8711.974362203293","9050.26655441196","8921.562958388244","11598.352977911016"
"6","11428.572544157281","10957.46793203174","8764.925361583977","8424.59520623163","8664.84832231526","10969.024687142788","10831.731356969469","10684.247442390271","8701.767975569095","8863.280833764242","8448.460746348152","11317.877765550775"
"7","11110.420858836076","11500.339922692638","8831.070308455986","8824.679297463988","8707.351177545002","10678.985708039925","10919.467790159324","10729.024458101543","8934.124479501248","8698.241728001665","8761.183435022704","11317.051680014492"
"8","11412.500851636867","11129.3629562827","8790.525369490213","8683.317066234753","8700.24459701095","11120.251556276782","11037.791042184352","10850.282206001186","9007.301791143103","8699.91788071547","8932.804767194448","11155.906054005669"
"9","11621.442087125664","11833.288151608358","8693.20747005898","8817.35575927352","9120.33374469239","11156.815254407884","11377.097827373766","10934.988166868396","8969.922375714596","8757.783948834352","8882.850476545045","11228.014981114684"
"10","11701.79407794521","11194.149484252952","8872.95979531052","8547.17607562099","9012.911971829566","11031.085011669406","10939.651478548654","11084.523500460007","8950.715398065779","8577.786632704074","8923.111530194137","11694.531081782323"
