"Year","jan","feb","mar","apr","may","jun","jul","aug","sep","oct","nov","dec"
"1","6573.502081321144","6471.117788258301","5112.722066938053","5176.011797571049","5244.767150631887","6478.152562812238","6309.80048888581","6551.245988756531","4886.29480477407","5015.760935516945","4950.3539846383455","6371.899826486538"
"2","7006.79690969443","7055.895412975849","5350.720756128429","5168.3958171613485","5161.913996129294","6365.145464472982","6058.260969734123","6524.215013029357","4849.086996182587","5098.522109636932","4915.098095786644","6399.4793889926095"
"3","6563.325203609199","6569.155361678302","5160.7640369894325","5143.4599334288","4979.968354100671","6118.648421317192","6344.23783438957","5958.034736264464","4731.954324306789","5058.26091417852","4802.055202999361","6093.906957134888"
"4","6930.8670745809995","6843.274864252468","5370.4437829430435","4972.38949655215","4979.438281887375","6233.577537007857","6622.85589326437","6575.093660161697","5429.033167406451","5331.457462014523","5304.592367776098","6632.467787606064"
"5","5676.130719117682","6141.627695488517","4621.7588359373285","4545.63629146309","4651.490408797672","5403.923981759594","5517.839496344948","5973.697016513778","4540.455045810599","4639.357341573508","4672.135672010871","5736.680264307519"
"6","6468.250069707718","6369.604664944136","5020.112777972145","4677.4395276447385","5009.505007312177","5643.004683079902","6193.084976053842","5939.222991715302","4542.963988019237","4622.960405084105","4956.63958944794","5916.671579831795"
"7","5821.548105098822","5765.276358941316","4470.923917893474","4859.124142879667","4902.834461799332","6011.712959876763","6074.603341633048","5856.5282289587","4687.43195122711","4654.18947885907","4905.958981454391","5964.568118833273"
"8","5915.1957679724255","6423.5851742360255","5041.8865135403585","4886.8109232506295","4929.8342615495185","5770.099692591179","5896.903676613809","5839.058530777207","5082.217619834901","4599.659361334499","4784.210255189383","6417.0567394171085"
"9","6098.246161017878","5920.529368336825","4857.154579374622","4363.926563780059","4555.057408350659","5495.964591422597","6082.1375465133215","5766.269087163265","4857.205344896703","4903.64062314586","4399.825348103504","5735.147384063431"
"10","6515.740618468091","6716.195061332644","4836.241412298947","4713.863795145073","5109.693064041959","6300.304175265663","5849.594932284788","6139.522076867459","4983.901687578584","4949.112121816967","4903.993936487094","6277.027261964468"
