"Year","jan","feb","mar","apr","may","jun","jul","aug","sep","oct","nov","dec"
"1","6975.322479957605","6522.899558626024","5015.818153798407","5280.291655573676","5055.55345643661","6586.2135077477815","6740.935783953351","6530.111538446674","5144.36974957497","5017.145650422547","5323.8946693666785","7034.512136899197"
"2","6366.669063692699","6983.823986181273","5386.178834317014","5488.879551154916","5474.447945063999","6174.427761166078","6794.8639242232675","6146.3488677499645","4916.295510789642","5320.383108715634","5397.497625547892","6843.498047091395"
"3","6615.308635075131","6872.52000443972","5046.165074538346","5357.105204510221","5356.816460997661","6270.5419674634","6621.955351975092","6296.093586366219","5115.716169274338","5064.740830743817","5544.324505456711","6559.424521987686"
"4","6989.868450671678","6646.156707246757","5386.910784821224","5318.84956833535","5378.263204633524","6524.678291056172","6348.448505336122","6401.812126851465","5602.745756367958","5030.122336030825","5260.891175054512","6992.358277688289"
"5","6449.61870179921","6751.058104376644","4922.139862790071","5259.18860890015","5164.631004089822","6158.5662996267765","6107.783787511354","6075.83970745421","4969.35894012789","4888.1957321966875","5096.018290390736","6322.845378367748"
"6","6918.224949982896","7157.014977392983","5370.097834480225","5267.946018158303","5179.4513171771","6552.428629408356","6309.279933170983","6303.059632554114","5319.004472997542","5066.012500420964","5513.331052184065","6893.646820108432"
"7","6516.797229468511","6874.049020696397","5532.654342912915","5470.970083153982","5167.7327752759975","6924.1506401920005","6215.489371312287","6840.968928293285","5113.445792093499","5104.551307188453","5054.9924729590275","7196.144331808184"
"8","6842.660440233031","6429.326167999484","5050.966845890118","5246.828809938111","5074.18017750924","6675.363075030369","6497.818143069246","6229.96657217398","4952.16920873822","5014.636647362027","5286.719541341105","6239.0731657271035"
"9","6916.491742998403","6877.058843277346","5323.457809843799","5304.092304563913","5137.937037995669","6323.831311536988","6440.633541911447","6520.828280533711","5333.163969180536","5175.826621375572","5146.405581934071","7152.537592476955"
"10","7036.4629245988535","6720.749844172179","5092.922251708122","5351.216231024092","5327.316995874882","6664.09807193033","6405.478837815643","6798.6057578076125","5301.639253583595","5277.340610786012","5404.461863709431","6814.978602363766"
